21,372 5,443 5,186 10,725 10,606 עובק שוכר
68,930 16,148 19,664 31,543 38,227 םיישחומ יתלב םיסכנ
145,733 36,286 62,555 50,414 93,944 הסנכה לע םיסמ
:תויובייחתהו םיסכנ יפיעסב םייוניש,,,,,
753,842 )65,327( 445,725 359,147 654,191 חוטיב יזוח ןיגב תויובייחתהו םיסכנב יוניש
30,074 84,404 144,356 16,832 208,978 הנשמ חוטיב יזוח ןיגב תויובייחתהו םיסכנב יוניש
230,547 27,147 242,192 84,805 320,741 האושת ייולת העקשה יזוח ןיגב תויובייחתהב יוניש
)889( )15( 77 )215( )880( תועקשה לוהינ תוריש יזוח תגשהל תויולעב יוניש,,,,,
)17,866( 4,248 )10,832( )21,327( )48,266( הבוח תורתיו םיבייח
47,606 4,340 )40,723( )37,768( )22,609( תוכז תורתיו םיאכז
6,936 )1,390( )4,578( 2,736 )887( וטנ,םידבועל תובטה לשב תויובייחתה
"העקשה יזוחו חוטיב יזוח רובע העקשהל ן""לדנו תויסנניפ תועקשה",,,,,
