251,228 74,690 144,288 104,073 201,008 הרבחה לש תוינמה ילעב
49 17 11 25 25 הטילש תונקמ ןניאש תויוכז,,,,,
251,277 74,707 144,299 104,098 201,033 הפוקתל חוור
:דספה וא חוורל ןכמ רחאל ורבעוי אלש רחא ללוכ חוור יטירפ,,,,,
8,300 - - - - וטנ,עובק שוכר ךורעש ןיגב שדחמ הכרעה,,,
4,360 848 - 848 - םידבועל תרדגומ הבטה תינכות לש שדחמ הדידממ )םידספה( םיחוור,,,,
ינפל דספה וא חוורל ןכמ רחאל רבעוי אלש רחא ללוכ חוור לכה ךס,,,,,
12,660 848 - 848 - הסנכה לע םיסמ,,,,
ורבעוי אלש רחא ללוכ חוור יטירפ רתיל םיסחייתמה הסנכה לע םיסמ,,,,,
3,956 370 - 370 - דספה וא חוורל ןכמ רחאל,,,,
8,704 478 - 478 - סממ וטנ,הפוקתל רחא ללוכ חוור לכה ךס,,,
259,981 75,185 144,299 104,576 201,033 הפוקתל ללוכה חוורה לכה ךס
