2,412,417 - - - 1,654,651 270,230 1,384,421 479,191 278,575 חוטיב יתורישמ תוסנכה
1,932,597 - - - 1,329,528 250,317 1,079,211 391,306 211,763 חוטיב יתורישמ תואצוה
479,820 - - - 325,123 19,913 305,210 87,885 66,812 םיקזחומ הנשמ יחוטיב ינפל חוטיב יתורישמ חוור,,,
659,786 - - - 451,637 74,589 377,048 143,058 65,091 הנשמ חוטיבמ תואצוה,,,
368,395 - - - 242,219 61,874 180,345 104,136 22,040 הנשמ חוטיבמ תוסנכה,,,
)291,391( - - - )209,418( )12,715( )196,703( )38,922( )43,051( םיקזחומ הנשמ חוטיב יזוחמ וטנ תואצוה,,,
188,429 - - - 115,705 7,198 108,507 48,963 23,761 חוטיב יתורישמ חוור,,,
יזוחו חוטיב יזוח דגנכ םיקזחומה םיסכנמ וטנ,תועקשהמ םיחוור,,,,,,,,
457,540 - - - - - - 2,997 454,543 האושת ייולת העקשה,,,,,,
:וטנ,תורחא תועקשהמ )םידספה( םיחוור,,,,,,,,
2,394 - 13 - 2,381 2,381 - - - תיביטקפאה תיבירה תטישב שומיש ךות ובשוחש תיביר תוסנכה,,,,,,
283,985 )1,976( 45,499 )161( 194,900 22,533 172,367 31,886 13,837 וטנ,תועקשהמ םירחא )םידספה( םיחוור
286,379 )1,976( 45,512 )161( 197,281 24,914 172,367 31,886 13,837 וטנ,תורחא תועקשהמ )םידספה( םיחוור לכה ךס
743,919 )1,976( 45,512 )161( 197,281 24,914 172,367 34,883 468,380 וטנ,תועקשהמ )םידספה( םיחוור לכה ךס
576,624 - - - 149,822 28,272 121,550 51,762 375,040 חוטיב יזוחמ תועבונה וטנ,ןומימ תואצוה,,
80,626 - - - 47,271 10,352 36,919 29,978 3,377 הנשמ חוטיב יזוחמ תועבונה וטנ,ןומימ תוסנכה,,
)91,940( - - - - - - - )91,940( האושתה ביכרמ לשב העקשה יזוח ןיגב תויובייחתהב לודיג,,,,,,,
155,981 )1,976( 45,512 )161( 94,730 6,994 87,736 13,099 4,777 וטנ,ןומימו תועקשהמ )דספה( חוור
344,410 )1,976( 45,512 )161( 210,435 14,192 196,243 62,062 28,538 העקשהמו חוטיבמ וטנ,)דספה( חוור
4,970 )2,971( - 3,308 - - - - 4,633 לוהינ ימדמ תוסנכה,,,,,
14,414 )27,547( - 41,961 - - - - - תולמעמ תוסנכה,,,,,,
44,546 )31,979( 30,218 43,776 - - - - 2,531 תורחא תוילועפת תואצוה,,,,
26,023 )515( 26,449 89 - - - - - תורחא ןומימ תואצוה,,,,,,,
ינזאמה יוושה תטיש יפל תולפוטמה תוקזחומ תורבח יחוורב קלח,,,,,,,,,
1,712 - - 1,712 - - - - - העקשהה תוליעפל קודה ןפואב תורושק ןניאש,,,,,,,
294,937 - )11,155( 2,955 210,435 14,192 196,243 62,062 30,640 הסנכהה לע םיסימ ינפל ללוכ )דספה( חוור לכ ךס,
3-42,,,,,,,,,
